"名稱","稀有度","食譜獲取方式"
"蒙德烤魚","1","解鎖烹飪獲得"
"薄荷豆湯","1","須彌城蘭巴德酒館購買獲得（人物：蘭巴德）"
"鳥蛋燒","1","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"摩拉肉","1","23級主線任務（地點：奧藏山）“浮世浮世千岩間”第一章第一幕中“留雲”任務期間烹飪處獲得 或 爆炎樹左側傳送點出來後兩隻幼岩龍蜥守護的寶箱獲取"
"爆炒肉片","1","開（慶雲頂和絕雲間瀑布機關所得）寶箱內獲得"
"提瓦特煎蛋","1","解鎖烹飪獲得"
"烤肉排","1","解鎖烹飪獲得"
"甜蝦壽司","1","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"薄荷果凍","1","蒙德城獵鹿人購買獲得食譜（人物：莎拉）"
"米窩窩","1","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：10級）"
"乾燒香魚","1","稻妻離島小吃攤涼子購買食譜獲得（人物：涼子）"
"野菇雞肉串","1","解鎖烹飪獲得"
"烤吃虎魚","1","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：10級）"
"蘭巴德魚卷","1","須彌城蘭巴德酒館購買獲得（人物：蘭巴德）"
"鳥蛋壽司","1","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"蕎麥麵","1","稻妻城木南料亭購買獲得食譜（人物：木南杏奈）"
"味噌湯","1","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"蘿蔔時蔬湯","1","解鎖烹飪獲得"
"稠汁蔬菜燉肉","2","（地點：龍脊雪山區域；接任務人：哈里斯）完成任務「啊，新鮮的肉！」獲取食譜"
"白汁時蔬燴肉","2","蒙德城獵鹿人處購買食譜（人物：莎拉；旅行者等級：25級）"
"雨林沙拉","2","森林書系列任務「願為一炊之夢」，「料理是快樂的回憶」完成獲得。"
"蓮子禽蛋羹","2","璃月城不卜廬處購買獲得（人物：阿桂）"
"山家燒","2","稻妻城志村屋購買食譜（人物：志村勘兵衛）"
"蟹黃豆腐","2","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：20級）"
"莊園烤鬆餅","2","蒙德城獵鹿人購買獲得（人物：莎拉；旅行者等級：15級)"
"綠汁脆球","2","須彌奧摩斯港購買獲得（人物：賈漢吉爾）"
"烏龍麵","2","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"什錦炒麵","2","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"素鮑魚","2","璃月望舒客棧購買獲得（人物：<「望舒客棧」老闆>菲爾戈黛特）"
"山珍熱滷麵","2","輕策莊右下區域豆腐坊處購買獲得（人物：小白）"
"阿如拌飯","2","阿如村（人物：阿扎萊）購買獲得"
"北地煙燻雞","2","①風龍廢墟2層寶箱內獲得 ②西風騎士團塔頂寶箱內獲得"
"松茸釀肉卷","2","23級主線任務（地點：奧藏山）“浮世浮生千岩間”第一章第一幕中“留雲”任務期間烹飪處獲得"
"蒲燒鰻肉","2","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"咖哩蝦","2","須彌奧摩斯港購買獲得（人物：賈漢吉爾）"
"甜甜花釀雞","2","解鎖烹飪獲得"
"薩巴桑炸角","2","須彌·奧摩斯港購買獲得（人物：賈漢吉爾）"
"鮪魚壽司","2","稻妻城木南料亭購買獲得食譜（人物：木南杏奈）"
"飯糰","2","世界任務「全能美食隊·深潛者」完成後獲得。"
"奶醬鮮魚","2","世界任務「全能美食隊·收束」完成後獲得。"
"乾炒魚河","2","璃月城新月軒處購買獲得（人物：<「新月軒」女侍>月疏）"
"樹莓水饅頭","2","稻妻城木南料亭購買獲得食譜（人物：木南杏奈）"
"水晶蝦","2","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：20級）"
"火火肉醬麵","2","蒙德城獵鹿人購買獲得（人物：莎拉；旅行者等級：20級)"
"薔薇奶糊","2","須彌城普斯帕咖啡館購買獲得食譜（人物：恩忒卡）"
"炸肉排三明治","2","稻妻離島小吃攤涼子購買食譜獲得（人物：涼子）"
"炸蘿蔔丸子","2","解鎖烹飪獲得"
"杏仁豆腐","2","23級主線任務（地點：望舒客棧廚房）“浮世浮世千岩間”第一章第一幕中“望舒”任務期間獲得（望舒客棧廚房開探索點獲得）"
"涼拌薄荷","2","璃月城萬民堂購買獲得（人物：卯師傅）"
"烤肉卷","2","須彌城蘭巴德酒館購買獲得（人物：蘭巴德）"
"蟹黃殼殼燒","2","世界任務「全能美食隊·海灘橫行者」完成後獲得。"
"香嫩椒椒雞","2","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：15級）"
"滿足沙拉","2","解鎖烹飪獲得"
"鮮魚燉蘿蔔","2","稻妻城木南料亭購買獲得食譜（人物：木南杏奈）"
"岩港三鮮","2","璃月琉璃亭購買獲得（人物：<「琉璃亭」女侍>璃彩）"
"馬薩拉起司球","2","森林書系列任務「願為一炊之夢」，「料理是思歸的香氣」完成獲得。"
"珍珠翡翠白玉湯","2","23級主線任務（地點：奧藏山）“浮世浮世千岩間”第一章第一幕中“留雲”任務期間烹飪處獲得、璃月港·下方傳送點附近茶樓二樓寶箱獲取"
"漁人吐司","2","解鎖烹飪獲得"
"雜菇薈萃","2","森林書系列任務「願為一炊之夢」，「料理是自然的風味」完成獲得。"
"若竹煮","2","稻妻城木南料亭購買獲得食譜（人物：木南杏奈）"
"蛋包飯","3","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"中原雜碎","3","（地點：璃月淥華池右下區域旅店；人物：朱老闆）任務“舊味難尋”期間獲得（任務需要：甜甜花釀雞*1）"
"帕蒂沙蘭布丁","3","須彌城·普斯帕咖啡館購買獲得食譜（人物：恩忒卡）"
"蜜醬胡蘿蔔煎肉","3","34級傳說任務（琴支線任務）“幼獅之章”第一幕“騎士團長的一日假期”中“委託人莎拉的憂愁”任務期間獲得。蒙德每日委託餐品訂單中給恩內斯特送炸蘿蔔丸子的任務獎勵。"
"獸肉薄荷卷","3","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：20級）"
"風神雜燴菜","3","在蒙德地區-把風角最東端與芬德對話獲得食譜"
"紫苑雲霓","3","在2.6版本「堇庭華彩」限時活動中，完成祭典之行·之二「關於拯救狸貓合影板這件事」任務獲得紫苑雲霓。"
"紺田煮","3","稻妻城聲望系統1級獎勵獲得"
"明月蛋","3","璃月城新月軒處購買獲得（人物：<「新月軒」女侍>月疏）"
"椰炭餅","3","須彌城蘭巴德酒館購買獲得（人物：蘭巴德）"
"馬鈴薯船","3","世界任務「全能美食隊·收束」完成後獲得。"
"緋櫻餅","3","神裡綾華傳說任務雪鶴之章·第一幕「鶴與白兔的訴說」任務期間獲得"
"蟹黃火腿焗時蔬","3","日常任務（地點：蒙德城獵鹿人）“餐品訂單”獎勵獲得（條件：第二次辦任務獲得）"
"金絲蝦球","3","璃月城聲望系統（人物：小雨）1級獎勵獲得"
"米飯布丁","3","在「韶光撫月」活動中，完成機關烹飪之法·之二任務獲得食譜。"
"文心豆腐","3","在「韶光撫月」活動中，完成機關烹飪之法·之一任務獲得食譜。"
"五寶醃菜","3","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"獸骨拉麵","3","稻妻城志村屋購買獲得食譜（人物：志村勘兵衛）"
"北地蘋果燜肉","3","蒙德城聲望系統（人物：赫塔）1級獎勵獲得"
"蒙德薯餅","3","（地點：蒙德）秘境（北風之狼的廟宇）首通獲得"
"口袋餅","3","完成魔神任務·第三章·第一幕「穿越煙帷與暗林」·「緘默的求知者」獲得"
"四方和平","3","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：30級）"
"三彩糰子","3","稻妻城木南料亭購買獲得食譜（人物：木南杏奈）"
"奶香菌菇脆塔","3","「必勝邀約，風起之旅」同步郵件活得獲得食譜。"
"松鼠魚","3","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：35級）"
"脆脆雞腿堡","3","“原神異世尋味禮”兌換獎勵內獲得成品。「異鄉食記」活動簽到獲得食譜。"
"醃篤鮮","3","璃月望舒客棧購買獲得（人物：<「望舒客棧」老闆>|菲爾戈黛特）"
"活力喵飯","3","在世界任務寢子是隻貓·神社食譜中，交予木南杏奈3顆海草獲得食譜。"
"水煮黑背鱸","3","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：30級）"
"日落鯛魚燒","3","稻妻城木南料亭購買獲得食譜（人物：木南杏奈）"
"鮮蝦脆薯盞","3","蒙德城獵鹿人購買獲得（人物：莎拉）"
"米圓塔","3","須彌城聲望系統（人物：阿芬迪）4級獎勵獲得"
"烤蘑菇披薩","3","風龍廢墟中心傳送點上區域一個丘丘人營地的珍貴寶箱內獲得，神裡綾華傳說任務途中未所持時自動獲得"
"紅燴獸肉","3","在「韶光撫月」活動中，完成機關烹飪之法·之三任務獲得食譜。"
"多多燒","3","稻妻城木南料亭購買獲得食譜（人物：木南杏奈）"
"絕雲鍋巴","3","輕策莊右下區域豆腐坊處購買獲得（人物：小白）"
"冷肉拼盤","3","（地點：蒙德）秘境（鷹之門）中的【失陷的城塞】首通獲得"
"清炒蝦仁","3","望舒客棧老闆菲爾戈黛特購買獲得（人物：菲爾戈黛特）"
"扣三絲","3","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：25級）"
"緋櫻天婦羅","3","世界任務全能美食隊完成後獲得。"
"奶油煎魚","3","支線任務（地點：龍脊雪山）“白堊之章”第一幕“旅行者觀察實驗報告”中“實驗之二，世界”期間獲得"
"奶油松茸","3","蒙德城獵鹿人購買獲得（人物：莎拉；旅行者等級：35級）"
"香濃馬鈴薯泥","3","「異鄉食記」活動簽到獲得食譜。"
"輕策農家菜","3","輕策莊右下區域豆腐坊處購買獲得（人物：小白）"
"冒險家蛋堡","3","蒙德城聲望系統（人物：赫塔）4級獎勵獲得"
"奶油雞","3","須彌城聲望系統（人物：阿芬迪）1級獎勵獲得"
"龍鬚麵","3","璃月城萬民堂購買獲得（人物：卯師傅；旅行者等級：25級）"
"日落莓莓茶","3","「必勝邀約，風起之旅」同步郵件活得獲得食譜。"
"串串三味","3","稻妻城木南料亭購買獲得食譜（人物：木南杏奈）"
"「堆高高」","3","蒙德城獵鹿人購買獲得（人物：莎拉；旅行者等級：40級）"
